workerid,gender,age,race,region,regionComments,speaker,sentence,content,intonation,etype,verification,followupchoice,certainty,comment1
A1VNJOS2LHSOZL,gen=1,age=2,eth=3,texas,"good	",chr,S1UM,calm,HLL,EI,we com,response=1,18,good
A1VNJOS2LHSOZL,gen=1,age=2,eth=3,texas,"good	",zio,filler,bring,pnq,wk,may bring something,response=1,32,good
A1VNJOS2LHSOZL,gen=1,age=2,eth=3,texas,"good	",kev,S1UM,left,HLL,ED,turn left,response=2,11,good
A1VNJOS2LHSOZL,gen=1,age=2,eth=3,texas,"good	",kev,filler,help,npipnq,str,left finger,response=2,18,good
ATF7HBD1TFI2U,gen=1,age=2,eth=3,midwest,"	",kev,S1UM,left,HLL,ED,turn left,response=1,78,
ATF7HBD1TFI2U,gen=1,age=2,eth=3,midwest,"	",kev,filler,help,npipnq,str,didn't maria lift a finger to help,response=2,90,
ATF7HBD1TFI2U,gen=1,age=2,eth=3,midwest,"	",bec,S1UM,window,LHL,EI,open the window,response=2,99,
ATF7HBD1TFI2U,gen=1,age=2,eth=3,midwest,"	",chr,S1UM,calm,HLL,EI,be calm,response=1,90,
ATF7HBD1TFI2U,gen=1,age=2,eth=3,midwest,"	",zio,filler,bring,pnq,wk,didn't mannie bring something,response=1,96,
ATF7HBD1TFI2U,gen=1,age=2,eth=3,midwest,"	",zio,S1UM,coffee,LHL,ED,put some creamer in your coffee,response=2,97,
ATF7HBD1TFI2U,gen=1,age=2,eth=3,midwest,"	",bec,S1UM,lemonade,LHL,EI,have a lemonade,response=2,95,
ATF7HBD1TFI2U,gen=1,age=2,eth=3,midwest,"	",kev,S1UM,menu,HLL,ED,read the menu,response=1,56,
A3W2YF5RJ6R01N,gen=2,age=4,eth=3,Midwest,"No	",bec,S1UM,potato,HLL,EI,Use a potato peeler.,response=2,95,
A3W2YF5RJ6R01N,gen=2,age=4,eth=3,Midwest,"No	",zio,S1UM,email,LHL,EI,Sent her an e-mail.,response=1,100,
A3W2YF5RJ6R01N,gen=2,age=4,eth=3,Midwest,"No	",zio,S1UM,right,HLL,ED,Go right.,response=1,60,
A3W2YF5RJ6R01N,gen=2,age=4,eth=3,Midwest,"No	",kev,S1UM,call,LHL,ED,Call your mom.,response=1,15,
A3W2YF5RJ6R01N,gen=2,age=4,eth=3,Midwest,"No	",kev,S1UM,dog,LHL,EI,Take the dog for a walk.,response=1,70,
A3W2YF5RJ6R01N,gen=2,age=4,eth=3,Midwest,"No	",kev,filler,help,pnq,wk,Didn't Maria help?,response=2,65,
A3W2YF5RJ6R01N,gen=2,age=4,eth=3,Midwest,"No	",zio,filler,bring,npipnq,str,Didn't Manny bring anything at all?,response=2,90,
A3W2YF5RJ6R01N,gen=2,age=4,eth=3,Midwest,"No	",kev,S1UM,home,HLL,ED,Stay home.,response=1,95,
A2DVV59R1CQU6T,gen=2,age=1,eth=3,Midwest,"No	",zio,filler,bring,npipnq,wk,Didn't Manny bring anything at all?,response=1,94,
A2DVV59R1CQU6T,gen=2,age=1,eth=3,Midwest,"No	",bec,S1UM,potato,LHL,ED,Use a potato peeler,response=1,99,
A2DVV59R1CQU6T,gen=2,age=1,eth=3,Midwest,"No	",zio,S1UM,email,HLL,EI,Send her an email,response=1,97,
A2DVV59R1CQU6T,gen=2,age=1,eth=3,Midwest,"No	",kev,filler,help,npiq,str,Did Maria lift a finger to help?,response=2,68,
A2DVV59R1CQU6T,gen=2,age=1,eth=3,Midwest,"No	",kev,S1UM,call,HLL,ED,Call your mom,response=1,99,
A2DVV59R1CQU6T,gen=2,age=1,eth=3,Midwest,"No	",kev,S1UM,home,LHL,EI,Stay home,response=2,73,
A2DVV59R1CQU6T,gen=2,age=1,eth=3,Midwest,"No	",kev,S1UM,dog,HLL,ED,Take the dog for a walk,response=1,99,
A2DVV59R1CQU6T,gen=2,age=1,eth=3,Midwest,"No	",zio,S1UM,right,LHL,EI,Go right,response=2,53,
A2XH7ZKO6GLD7Z,gen=2,age=4,eth=2,Los Angeles California,"	",bec,S1UM,window,LHL,EI,focus the window,response=2,70,
A2XH7ZKO6GLD7Z,gen=2,age=4,eth=2,Los Angeles California,"	",bec,S1UM,lemonade,LHL,EI,Have a lemonade.,response=2,65,
A2XH7ZKO6GLD7Z,gen=2,age=4,eth=2,Los Angeles California,"	",zio,S1UM,coffee,LHL,ED,Put some cream in your coffee.,response=1,90,
A2XH7ZKO6GLD7Z,gen=2,age=4,eth=2,Los Angeles California,"	",kev,filler,help,npipnq,str,Didn't Maria lift a finger to help?,response=1,50,
A2XH7ZKO6GLD7Z,gen=2,age=4,eth=2,Los Angeles California,"	",chr,S1UM,calm,HLL,EI,Be calm.,response=1,90,
A2XH7ZKO6GLD7Z,gen=2,age=4,eth=2,Los Angeles California,"	",zio,filler,bring,pnq,wk,Didn't Manny bring something?,response=1,80,
A2XH7ZKO6GLD7Z,gen=2,age=4,eth=2,Los Angeles California,"	",kev,S1UM,left,HLL,ED,Turn left.,response=1,75,
A2XH7ZKO6GLD7Z,gen=2,age=4,eth=2,Los Angeles California,"	",kev,S1UM,menu,HLL,ED,Read the menu.,response=1,100,
A2C84POENS2UNY,gen=1,age=2,eth=3,NC,,zio,S1UM,email,HLL,EI,Send her an email.,response=1,62,
A2C84POENS2UNY,gen=1,age=2,eth=3,NC,,kev,S1UM,home,LHL,EI,Stay home,response=2,81,
A2C84POENS2UNY,gen=1,age=2,eth=3,NC,,zio,filler,bring,npipnq,wk,Didn't Manny bring anything at all?,response=1,90,
A2C84POENS2UNY,gen=1,age=2,eth=3,NC,,kev,S1UM,call,HLL,ED,Call your mom.,response=1,60,
A2C84POENS2UNY,gen=1,age=2,eth=3,NC,,kev,filler,help,npiq,str,Did Maria lift a finger to help?,response=2,87,
A2C84POENS2UNY,gen=1,age=2,eth=3,NC,,bec,S1UM,potato,LHL,ED,Use a potato peeler,response=1,81,
A2C84POENS2UNY,gen=1,age=2,eth=3,NC,,zio,S1UM,right,LHL,EI,Go right,response=1,62,
A2C84POENS2UNY,gen=1,age=2,eth=3,NC,,kev,S1UM,dog,HLL,ED,Take the dog for a walk.,response=1,89,
A1HLF64267DDLH,gen=1,age=2,eth=5,mid atlantic region,no,zio,S1UM,coffee,HLL,ED,put some creamer in your coffee,response=1,94,none
A1HLF64267DDLH,gen=1,age=2,eth=5,mid atlantic region,no,kev,filler,help,npipnq,wk,didn't Maria lift a finger to help?,response=1,98,no
A1HLF64267DDLH,gen=1,age=2,eth=5,mid atlantic region,no,bec,S1UM,window,HLL,EI,open the window.,response=2,20,no
